Global Stacks,,,,,,,,,,,,,,,,Regional Stacks,,,,,,,,Other Stacks,,,,,,
,Standard5x5Grid,,Standard10-lat,,Standard,,RegEM,,RegEM5x5grid,,Jack30,,Jack50,,,,Standard5x5Grid,,Standard5x5Grid,,Standard5x5Grid,,,,Standard5x5Grid Mg/Ca,,Standard5x5Grid Uk'37,,Standard5x5Grid Other,
Age (yrs BP),Global (°C),1σ uncertainty (°C),Global (°C),1σ uncertainty (°C),Global (°C),1σ uncertainty (°C),Global (°C),1σ uncertainty (°C),Global (°C),1σ uncertainty (°C),Global (°C),1σ uncertainty (°C),Global (°C),1σ uncertainty (°C),,Age (yrs BP),90-30N (°C),1σ uncertainty (°C),30S-30N (°C),1σ uncertainty (°C),90-30S (°C),1σ uncertainty (°C),,Age (yrs BP),(°C),1σ uncertainty (°C),(°C),1σ uncertainty (°C),(°C),1σ uncertainty (°C)
-50,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,-50,NaN,NaN,NaN,NaN,NaN,NaN,,-50,NaN,NaN,NaN,NaN,NaN,NaN
-30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,-30,NaN,NaN,NaN,NaN,NaN,NaN,,-30,NaN,NaN,NaN,NaN,NaN,NaN
-10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,-10,NaN,NaN,NaN,NaN,NaN,NaN,,-10,NaN,NaN,NaN,NaN,NaN,NaN
1530,-0.06,0.14,-0.03,0.14,-0.03,0.12,-0.05,0.11,-0.05,0.13,-0.06,0.14,-0.05,0.19,,1530,0.16,0.31,-0.16,0.29,-0.27,0.26,,1530,-0.09,0.23,0.01,0.19,-0.16,0.29
1550,-0.07,0.14,-0.03,0.14,-0.04,0.12,-0.05,0.11,-0.06,0.13,-0.07,0.14,-0.06,0.19,,1550,0.15,0.31,-0.17,0.29,-0.30,0.25,,1550,-0.10,0.23,0.00,0.19,-0.17,0.29
1570,-0.08,0.13,-0.04,0.14,-0.05,0.12,-0.06,0.11,-0.06,0.13,-0.08,0.13,-0.07,0.19,,1570,0.12,0.32,-0.16,0.28,-0.33,0.25,,1570,-0.11,0.23,0.00,0.19,-0.18,0.28
1590,-0.09,0.14,-0.05,0.14,-0.06,0.12,-0.07,0.12,-0.06,0.13,-0.08,0.14,-0.08,0.19,,1590,0.09,0.31,-0.16,0.28,-0.36,0.25,,1590,-0.11,0.24,0.00,0.18,-0.19,0.28
1610,-0.09,0.13,-0.05,0.14,-0.07,0.12,-0.07,0.11,-0.07,0.13,-0.09,0.13,-0.09,0.19,,1610,0.06,0.31,-0.17,0.28,-0.38,0.26,,1610,-0.12,0.24,-0.01,0.18,-0.21,0.28
1630,-0.10,0.13,-0.06,0.14,-0.08,0.12,-0.08,0.11,-0.07,0.12,-0.10,0.13,-0.09,0.19,,1630,0.05,0.31,-0.17,0.28,-0.40,0.27,,1630,-0.12,0.24,-0.01,0.18,-0.21,0.28
1650,-0.10,0.13,-0.06,0.14,-0.08,0.12,-0.08,0.11,-0.07,0.12,-0.10,0.13,-0.09,0.19,,1650,0.03,0.30,-0.16,0.28,-0.40,0.26,,1650,-0.12,0.24,-0.01,0.18,-0.22,0.29
1670,-0.10,0.13,-0.06,0.14,-0.08,0.12,-0.08,0.11,-0.07,0.12,-0.10,0.13,-0.10,0.19,,1670,0.01,0.30,-0.17,0.29,-0.39,0.26,,1670,-0.12,0.25,-0.01,0.18,-0.23,0.29
1690,-0.11,0.13,-0.06,0.14,-0.09,0.12,-0.08,0.11,-0.08,0.13,-0.11,0.13,-0.10,0.19,,1690,0.01,0.29,-0.18,0.29,-0.39,0.25,,1690,-0.13,0.25,-0.01,0.18,-0.24,0.28
1710,-0.12,0.13,-0.07,0.13,-0.09,0.12,-0.09,0.12,-0.08,0.13,-0.12,0.13,-0.11,0.19,,1710,0.01,0.29,-0.19,0.29,-0.40,0.24,,1710,-0.14,0.25,-0.01,0.18,-0.26,0.28
