Global Stacks,,,,,,,,,,,,,,,,Regional Stacks,,,,,,,,Other Stacks,,,,,,
,Standard5x5Grid,,Standard10-lat,,Standard,,RegEM,,RegEM5x5grid,,Jack30,,Jack50,,,,Standard5x5Grid,,Standard5x5Grid,,Standard5x5Grid,,,,Standard5x5Grid Mg/Ca,,Standard5x5Grid Uk'37,,Standard5x5Grid Other,
Age (yrs BP),Global (°C),1σ uncertainty (°C),Global (°C),1σ uncertainty (°C),Global (°C),1σ uncertainty (°C),Global (°C),1σ uncertainty (°C),Global (°C),1σ uncertainty (°C),Global (°C),1σ uncertainty (°C),Global (°C),1σ uncertainty (°C),,Age (yrs BP),90-30N (°C),1σ uncertainty (°C),30S-30N (°C),1σ uncertainty (°C),90-30S (°C),1σ uncertainty (°C),,Age (yrs BP),(°C),1σ uncertainty (°C),(°C),1σ uncertainty (°C),(°C),1σ uncertainty (°C)
-50,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,-50,NaN,NaN,NaN,NaN,NaN,NaN,,-50,NaN,NaN,NaN,NaN,NaN,NaN
-30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,-30,NaN,NaN,NaN,NaN,NaN,NaN,,-30,NaN,NaN,NaN,NaN,NaN,NaN
-10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,-10,NaN,NaN,NaN,NaN,NaN,NaN,,-10,NaN,NaN,NaN,NaN,NaN,NaN
6150,0.35,0.13,0.47,0.13,0.39,0.11,0.37,0.11,0.36,0.13,0.36,0.13,0.36,0.18,,6150,0.85,0.27,-0.02,0.29,-0.20,0.22,,6150,0.21,0.24,0.80,0.18,-0.35,0.29
6170,0.36,0.13,0.47,0.13,0.40,0.11,0.38,0.11,0.37,0.13,0.36,0.13,0.36,0.18,,6170,0.85,0.27,-0.02,0.29,-0.19,0.22,,6170,0.21,0.24,0.81,0.18,-0.35,0.29
6190,0.36,0.13,0.47,0.13,0.40,0.11,0.38,0.11,0.37,0.13,0.36,0.13,0.36,0.18,,6190,0.85,0.27,-0.02,0.29,-0.19,0.22,,6190,0.20,0.24,0.82,0.18,-0.35,0.29
6210,0.36,0.13,0.47,0.13,0.40,0.12,0.38,0.12,0.37,0.13,0.36,0.13,0.36,0.18,,6210,0.86,0.28,-0.03,0.29,-0.19,0.23,,6210,0.19,0.24,0.82,0.18,-0.35,0.30
6230,0.35,0.13,0.47,0.13,0.39,0.12,0.38,0.12,0.37,0.13,0.36,0.13,0.36,0.18,,6230,0.85,0.28,-0.04,0.28,-0.19,0.23,,6230,0.17,0.24,0.83,0.18,-0.35,0.30
6250,0.35,0.13,0.47,0.13,0.39,0.12,0.38,0.12,0.36,0.13,0.35,0.13,0.35,0.18,,6250,0.85,0.28,-0.06,0.29,-0.18,0.24,,6250,0.14,0.24,0.84,0.18,-0.36,0.30
6270,0.34,0.13,0.46,0.13,0.38,0.12,0.37,0.12,0.35,0.13,0.34,0.13,0.34,0.18,,6270,0.85,0.28,-0.08,0.29,-0.18,0.24,,6270,0.11,0.25,0.84,0.18,-0.37,0.30
6290,0.33,0.13,0.46,0.13,0.37,0.11,0.36,0.11,0.34,0.13,0.33,0.13,0.33,0.18,,6290,0.85,0.28,-0.09,0.28,-0.18,0.24,,6290,0.09,0.24,0.85,0.18,-0.39,0.30
6310,0.31,0.13,0.45,0.13,0.37,0.11,0.35,0.12,0.33,0.13,0.32,0.13,0.32,0.18,,6310,0.84,0.28,-0.11,0.28,-0.19,0.24,,6310,0.06,0.24,0.85,0.18,-0.40,0.30
6330,0.31,0.13,0.45,0.13,0.36,0.12,0.35,0.12,0.32,0.13,0.31,0.13,0.31,0.18,,6330,0.84,0.28,-0.13,0.28,-0.19,0.24,,6330,0.04,0.24,0.85,0.18,-0.42,0.30
6350,0.30,0.13,0.45,0.13,0.35,0.12,0.34,0.12,0.31,0.13,0.30,0.13,0.30,0.18,,6350,0.84,0.28,-0.14,0.29,-0.21,0.24,,6350,0.02,0.24,0.86,0.18,-0.44,0.30
6370,0.29,0.13,0.44,0.13,0.34,0.11,0.33,0.12,0.30,0.13,0.29,0.13,0.29,0.18,,6370,0.83,0.28,-0.16,0.29,-0.22,0.24,,6370,-0.01,0.24,0.86,0.17,-0.45,0.30
6390,0.28,0.13,0.44,0.13,0.34,0.11,0.33,0.12,0.29,0.13,0.28,0.13,0.28,0.18,,6390,0.83,0.28,-0.17,0.28,-0.22,0.24,,6390,-0.03,0.24,0.86,0.18,-0.46,0.30
6410,0.28,0.13,0.45,0.13,0.34,0.11,0.33,0.11,0.29,0.13,0.28,0.13,0.28,0.18,,6410,0.83,0.28,-0.18,0.28,-0.22,0.24,,6410,-0.04,0.24,0.87,0.18,-0.47,0.29
6430,0.28,0.13,0.45,0.13,0.34,0.11,0.32,0.11,0.29,0.13,0.28,0.13,0.28,0.18,,6430,0.82,0.29,-0.18,0.28,-0.22,0.24,,6430,-0.04,0.25,0.88,0.17,-0.48,0.29
6450,0.28,0.13,0.45,0.13,0.34,0.12,0.32,0.12,0.30,0.13,0.28,0.13,0.28,0.18,,6450,0.82,0.30,-0.19,0.28,-0.22,0.24,,6450,-0.04,0.25,0.88,0.17,-0.48,0.29
6470,0.28,0.13,0.46,0.13,0.34,0.12,0.33,0.12,0.30,0.13,0.29,0.13,0.29,0.18,,6470,0.82,0.30,-0.19,0.28,-0.21,0.24,,6470,-0.03,0.25,0.89,0.17,-0.49,0.29
6490,0.29,0.13,0.47,0.13,0.34,0.12,0.33,0.12,0.31,0.13,0.30,0.13,0.30,0.18,,6490,0.82,0.30,-0.18,0.28,-0.20,0.25,,6490,-0.01,0.25,0.89,0.17,-0.49,0.29
6510,0.30,0.13,0.47,0.13,0.35,0.12,0.34,0.12,0.32,0.13,0.31,0.13,0.31,0.18,,6510,0.83,0.30,-0.18,0.28,-0.19,0.25,,6510,0.01,0.25,0.89,0.17,-0.48,0.28
6530,0.31,0.13,0.48,0.13,0.35,0.11,0.34,0.12,0.33,0.13,0.32,0.13,0.32,0.18,,6530,0.84,0.30,-0.17,0.28,-0.18,0.24,,6530,0.03,0.25,0.89,0.18,-0.48,0.27
6550,0.32,0.13,0.49,0.13,0.36,0.11,0.35,0.12,0.34,0.13,0.33,0.13,0.33,0.18,,6550,0.86,0.29,-0.17,0.29,-0.18,0.24,,6550,0.05,0.25,0.88,0.18,-0.47,0.27
6570,0.33,0.13,0.50,0.13,0.37,0.11,0.35,0.11,0.35,0.13,0.34,0.13,0.34,0.18,,6570,0.87,0.28,-0.16,0.29,-0.18,0.24,,6570,0.08,0.25,0.88,0.18,-0.47,0.27
6590,0.34,0.13,0.51,0.13,0.37,0.11,0.36,0.11,0.36,0.13,0.35,0.13,0.35,0.18,,6590,0.88,0.28,-0.15,0.29,-0.17,0.24,,6590,0.11,0.25,0.87,0.18,-0.47,0.28
6610,0.35,0.13,0.52,0.13,0.38,0.11,0.36,0.11,0.37,0.13,0.36,0.13,0.36,0.18,,6610,0.90,0.28,-0.14,0.29,-0.17,0.24,,6610,0.14,0.25,0.87,0.17,-0.47,0.27
6630,0.36,0.12,0.52,0.13,0.38,0.11,0.37,0.11,0.38,0.13,0.37,0.12,0.37,0.18,,6630,0.91,0.28,-0.13,0.29,-0.18,0.24,,6630,0.16,0.24,0.87,0.17,-0.47,0.27
6650,0.37,0.13,0.53,0.13,0.39,0.11,0.38,0.12,0.39,0.13,0.38,0.13,0.38,0.18,,6650,0.93,0.28,-0.12,0.29,-0.18,0.24,,6650,0.19,0.24,0.87,0.17,-0.47,0.27
6670,0.38,0.13,0.54,0.14,0.39,0.11,0.38,0.12,0.39,0.13,0.39,0.13,0.39,0.18,,6670,0.94,0.29,-0.11,0.29,-0.19,0.25,,6670,0.20,0.25,0.87,0.17,-0.48,0.27
6690,0.39,0.13,0.55,0.14,0.40,0.11,0.38,0.12,0.40,0.13,0.39,0.13,0.39,0.18,,6690,0.95,0.28,-0.09,0.30,-0.20,0.26,,6690,0.22,0.25,0.87,0.17,-0.47,0.27
6710,0.40,0.13,0.55,0.14,0.41,0.12,0.39,0.12,0.41,0.13,0.40,0.13,0.40,0.18,,6710,0.96,0.28,-0.08,0.30,-0.20,0.25,,6710,0.23,0.25,0.87,0.17,-0.47,0.26
6730,0.40,0.13,0.56,0.14,0.41,0.12,0.39,0.12,0.41,0.13,0.41,0.13,0.41,0.18,,6730,0.97,0.28,-0.08,0.30,-0.20,0.25,,6730,0.24,0.24,0.87,0.17,-0.46,0.26
6750,0.41,0.13,0.56,0.14,0.41,0.12,0.39,0.12,0.42,0.13,0.41,0.13,0.41,0.18,,6750,0.98,0.28,-0.07,0.30,-0.21,0.25,,6750,0.24,0.24,0.88,0.18,-0.46,0.26
6770,0.41,0.13,0.57,0.14,0.42,0.12,0.40,0.12,0.43,0.13,0.42,0.13,0.42,0.18,,6770,0.99,0.28,-0.07,0.29,-0.22,0.25,,6770,0.24,0.25,0.88,0.18,-0.45,0.27
6790,0.41,0.13,0.57,0.14,0.42,0.12,0.41,0.12,0.43,0.13,0.42,0.13,0.42,0.18,,6790,1.00,0.28,-0.07,0.29,-0.22,0.25,,6790,0.24,0.25,0.88,0.18,-0.44,0.27
6810,0.42,0.13,0.57,0.14,0.42,0.12,0.41,0.12,0.43,0.13,0.42,0.13,0.42,0.18,,6810,1.01,0.28,-0.07,0.29,-0.23,0.25,,6810,0.24,0.25,0.89,0.18,-0.44,0.27
6830,0.42,0.13,0.57,0.14,0.43,0.12,0.41,0.12,0.44,0.13,0.43,0.13,0.43,0.18,,6830,1.03,0.29,-0.07,0.29,-0.23,0.24,,6830,0.24,0.25,0.89,0.18,-0.43,0.28
6850,0.42,0.13,0.57,0.14,0.43,0.12,0.41,0.12,0.44,0.13,0.43,0.13,0.43,0.18,,6850,1.05,0.29,-0.07,0.29,-0.23,0.25,,6850,0.24,0.25,0.90,0.18,-0.42,0.28
6870,0.43,0.13,0.56,0.14,0.43,0.12,0.42,0.12,0.44,0.13,0.43,0.13,0.43,0.18,,6870,1.06,0.29,-0.08,0.29,-0.23,0.25,,6870,0.24,0.26,0.90,0.18,-0.41,0.28
6890,0.43,0.13,0.56,0.14,0.44,0.12,0.42,0.12,0.45,0.13,0.43,0.13,0.44,0.18,,6890,1.07,0.29,-0.08,0.29,-0.24,0.24,,6890,0.24,0.25,0.90,0.18,-0.40,0.28
6910,0.43,0.13,0.56,0.14,0.44,0.12,0.42,0.12,0.45,0.13,0.44,0.13,0.44,0.18,,6910,1.09,0.29,-0.08,0.29,-0.23,0.24,,6910,0.24,0.25,0.91,0.18,-0.39,0.28
6930,0.44,0.13,0.56,0.14,0.44,0.12,0.43,0.12,0.45,0.13,0.44,0.13,0.44,0.18,,6930,1.10,0.30,-0.09,0.29,-0.23,0.25,,6930,0.24,0.25,0.91,0.19,-0.39,0.28
6950,0.43,0.13,0.56,0.14,0.44,0.12,0.42,0.12,0.45,0.13,0.44,0.13,0.44,0.18,,6950,1.10,0.30,-0.10,0.29,-0.23,0.26,,6950,0.23,0.24,0.91,0.19,-0.39,0.28
6970,0.43,0.13,0.55,0.14,0.44,0.12,0.42,0.12,0.44,0.13,0.44,0.13,0.44,0.18,,6970,1.11,0.29,-0.10,0.29,-0.23,0.26,,6970,0.22,0.24,0.91,0.19,-0.38,0.28
6990,0.43,0.13,0.55,0.14,0.44,0.12,0.42,0.12,0.44,0.13,0.43,0.13,0.43,0.18,,6990,1.11,0.29,-0.11,0.29,-0.22,0.27,,6990,0.21,0.24,0.91,0.19,-0.37,0.28
7010,0.42,0.13,0.55,0.14,0.44,0.11,0.41,0.12,0.43,0.13,0.43,0.13,0.43,0.18,,7010,1.11,0.29,-0.12,0.29,-0.22,0.27,,7010,0.20,0.24,0.91,0.18,-0.37,0.28
7030,0.42,0.13,0.54,0.14,0.44,0.11,0.41,0.11,0.42,0.13,0.43,0.13,0.43,0.18,,7030,1.11,0.29,-0.13,0.29,-0.22,0.28,,7030,0.20,0.24,0.91,0.18,-0.37,0.28
7050,0.42,0.13,0.54,0.14,0.44,0.12,0.41,0.12,0.42,0.13,0.42,0.13,0.42,0.19,,7050,1.11,0.28,-0.14,0.29,-0.21,0.28,,7050,0.19,0.24,0.90,0.18,-0.36,0.28
7070,0.42,0.13,0.54,0.14,0.44,0.12,0.40,0.12,0.42,0.13,0.42,0.13,0.42,0.19,,7070,1.11,0.28,-0.15,0.29,-0.21,0.28,,7070,0.18,0.24,0.90,0.18,-0.36,0.28
7090,0.41,0.13,0.53,0.14,0.43,0.12,0.40,0.12,0.41,0.13,0.41,0.13,0.41,0.19,,7090,1.11,0.28,-0.16,0.29,-0.21,0.28,,7090,0.17,0.24,0.89,0.18,-0.35,0.28
7110,0.40,0.13,0.53,0.14,0.43,0.12,0.40,0.12,0.41,0.13,0.41,0.13,0.41,0.19,,7110,1.11,0.28,-0.17,0.29,-0.22,0.28,,7110,0.16,0.24,0.88,0.18,-0.35,0.28
7130,0.40,0.14,0.52,0.14,0.42,0.12,0.40,0.12,0.41,0.13,0.40,0.14,0.40,0.19,,7130,1.10,0.28,-0.18,0.29,-0.22,0.28,,7130,0.16,0.24,0.87,0.18,-0.34,0.28
7150,0.40,0.14,0.52,0.14,0.42,0.12,0.40,0.12,0.40,0.14,0.40,0.14,0.40,0.19,,7150,1.09,0.29,-0.18,0.30,-0.21,0.28,,7150,0.15,0.24,0.86,0.18,-0.34,0.28
7170,0.39,0.14,0.51,0.14,0.42,0.12,0.39,0.12,0.40,0.14,0.39,0.14,0.40,0.19,,7170,1.09,0.29,-0.19,0.30,-0.21,0.28,,7170,0.14,0.24,0.85,0.19,-0.33,0.28
7190,0.39,0.14,0.50,0.14,0.41,0.12,0.39,0.12,0.39,0.13,0.39,0.14,0.39,0.19,,7190,1.08,0.29,-0.20,0.30,-0.20,0.28,,7190,0.14,0.24,0.84,0.19,-0.33,0.28
7210,0.38,0.14,0.50,0.14,0.41,0.12,0.39,0.12,0.39,0.13,0.38,0.14,0.39,0.19,,7210,1.07,0.28,-0.20,0.29,-0.19,0.28,,7210,0.14,0.24,0.83,0.19,-0.33,0.27
7230,0.38,0.13,0.49,0.14,0.41,0.12,0.38,0.12,0.38,0.13,0.38,0.13,0.38,0.19,,7230,1.05,0.28,-0.20,0.29,-0.19,0.28,,7230,0.15,0.24,0.82,0.19,-0.33,0.28
7250,0.37,0.13,0.49,0.14,0.40,0.12,0.37,0.12,0.38,0.13,0.38,0.13,0.38,0.19,,7250,1.04,0.28,-0.21,0.29,-0.18,0.28,,7250,0.15,0.24,0.80,0.19,-0.33,0.27
7270,0.37,0.13,0.48,0.14,0.40,0.12,0.37,0.12,0.37,0.13,0.37,0.13,0.38,0.19,,7270,1.03,0.28,-0.21,0.29,-0.17,0.28,,7270,0.15,0.24,0.80,0.19,-0.33,0.27
7290,0.37,0.13,0.48,0.14,0.39,0.12,0.37,0.12,0.37,0.13,0.37,0.13,0.37,0.18,,7290,1.01,0.28,-0.21,0.29,-0.16,0.28,,7290,0.15,0.24,0.79,0.19,-0.33,0.27
7310,0.36,0.13,0.47,0.14,0.39,0.12,0.36,0.12,0.37,0.13,0.36,0.13,0.37,0.18,,7310,1.00,0.28,-0.22,0.28,-0.15,0.28,,7310,0.15,0.24,0.78,0.19,-0.33,0.27
7330,0.36,0.13,0.47,0.14,0.38,0.12,0.35,0.12,0.36,0.13,0.36,0.13,0.36,0.18,,7330,0.98,0.28,-0.22,0.28,-0.14,0.28,,7330,0.14,0.25,0.77,0.19,-0.34,0.27
7350,0.35,0.13,0.47,0.14,0.38,0.12,0.35,0.12,0.36,0.13,0.36,0.13,0.36,0.18,,7350,0.97,0.28,-0.23,0.29,-0.13,0.27,,7350,0.14,0.25,0.77,0.19,-0.33,0.27
7370,0.35,0.13,0.47,0.14,0.38,0.12,0.35,0.12,0.35,0.13,0.35,0.13,0.35,0.18,,7370,0.96,0.28,-0.23,0.29,-0.11,0.28,,7370,0.12,0.25,0.76,0.19,-0.33,0.28
7390,0.34,0.13,0.46,0.14,0.37,0.12,0.35,0.11,0.34,0.13,0.35,0.13,0.35,0.18,,7390,0.96,0.28,-0.24,0.29,-0.10,0.27,,7390,0.11,0.24,0.76,0.19,-0.33,0.28
7410,0.34,0.13,0.46,0.14,0.37,0.12,0.35,0.11,0.34,0.13,0.35,0.13,0.35,0.18,,7410,0.96,0.28,-0.25,0.29,-0.08,0.27,,7410,0.11,0.24,0.76,0.19,-0.33,0.28
7430,0.34,0.13,0.47,0.14,0.38,0.12,0.35,0.11,0.35,0.13,0.35,0.13,0.35,0.18,,7430,0.96,0.28,-0.25,0.29,-0.07,0.27,,7430,0.11,0.23,0.76,0.19,-0.33,0.28
7450,0.35,0.13,0.47,0.14,0.38,0.12,0.35,0.11,0.35,0.13,0.35,0.13,0.35,0.18,,7450,0.96,0.29,-0.25,0.29,-0.06,0.28,,7450,0.12,0.23,0.75,0.19,-0.33,0.29
7470,0.35,0.13,0.47,0.14,0.38,0.12,0.35,0.11,0.34,0.13,0.35,0.13,0.35,0.18,,7470,0.97,0.29,-0.25,0.29,-0.05,0.28,,7470,0.12,0.23,0.75,0.19,-0.33,0.29
7490,0.35,0.13,0.47,0.14,0.38,0.12,0.34,0.12,0.34,0.13,0.35,0.13,0.35,0.19,,7490,0.99,0.29,-0.25,0.29,-0.04,0.27,,7490,0.13,0.23,0.75,0.19,-0.34,0.29
7510,0.34,0.13,0.46,0.14,0.38,0.12,0.35,0.12,0.34,0.13,0.35,0.13,0.35,0.19,,7510,1.00,0.29,-0.25,0.29,-0.03,0.28,,7510,0.15,0.23,0.74,0.19,-0.35,0.28
7530,0.34,0.13,0.46,0.14,0.38,0.12,0.35,0.12,0.34,0.13,0.34,0.13,0.35,0.19,,7530,1.01,0.30,-0.26,0.29,-0.03,0.28,,7530,0.16,0.24,0.74,0.19,-0.37,0.28
7550,0.34,0.13,0.46,0.14,0.38,0.12,0.35,0.12,0.34,0.13,0.34,0.13,0.34,0.19,,7550,1.02,0.31,-0.26,0.28,-0.03,0.27,,7550,0.17,0.24,0.73,0.19,-0.39,0.28
7570,0.33,0.14,0.46,0.14,0.38,0.12,0.35,0.12,0.33,0.14,0.33,0.14,0.34,0.19,,7570,1.02,0.31,-0.26,0.28,-0.04,0.27,,7570,0.18,0.25,0.72,0.19,-0.40,0.28
7590,0.33,0.14,0.46,0.13,0.38,0.12,0.35,0.12,0.33,0.14,0.33,0.14,0.33,0.19,,7590,1.02,0.30,-0.26,0.28,-0.04,0.27,,7590,0.18,0.25,0.72,0.19,-0.40,0.27
7610,0.32,0.14,0.46,0.13,0.38,0.12,0.35,0.12,0.33,0.14,0.33,0.14,0.33,0.19,,7610,1.02,0.30,-0.26,0.29,-0.03,0.26,,7610,0.19,0.25,0.71,0.19,-0.41,0.27
7630,0.32,0.13,0.46,0.13,0.38,0.12,0.35,0.12,0.32,0.14,0.32,0.13,0.33,0.19,,7630,1.02,0.30,-0.25,0.29,-0.03,0.26,,7630,0.19,0.26,0.70,0.19,-0.40,0.28
7650,0.32,0.13,0.47,0.13,0.38,0.12,0.34,0.12,0.32,0.14,0.32,0.13,0.32,0.19,,7650,1.01,0.31,-0.24,0.29,-0.03,0.26,,7650,0.19,0.26,0.69,0.19,-0.40,0.27
7670,0.31,0.13,0.46,0.13,0.38,0.12,0.34,0.12,0.31,0.13,0.31,0.13,0.32,0.19,,7670,0.99,0.30,-0.24,0.29,-0.04,0.26,,7670,0.20,0.26,0.68,0.19,-0.41,0.28
7690,0.30,0.13,0.46,0.13,0.37,0.12,0.33,0.12,0.30,0.13,0.31,0.13,0.31,0.19,,7690,0.97,0.30,-0.23,0.29,-0.04,0.26,,7690,0.20,0.26,0.67,0.19,-0.42,0.28
7710,0.30,0.13,0.46,0.13,0.37,0.12,0.33,0.12,0.30,0.13,0.30,0.13,0.30,0.19,,7710,0.96,0.30,-0.23,0.29,-0.04,0.26,,7710,0.21,0.25,0.66,0.19,-0.42,0.29
7730,0.29,0.14,0.46,0.13,0.36,0.12,0.33,0.12,0.29,0.13,0.30,0.14,0.30,0.19,,7730,0.94,0.30,-0.22,0.29,-0.05,0.26,,7730,0.21,0.25,0.65,0.19,-0.43,0.29
7750,0.29,0.14,0.46,0.13,0.36,0.12,0.32,0.12,0.29,0.14,0.29,0.14,0.30,0.19,,7750,0.92,0.29,-0.21,0.30,-0.06,0.26,,7750,0.22,0.25,0.64,0.19,-0.44,0.29
7770,0.29,0.14,0.47,0.13,0.35,0.12,0.32,0.12,0.29,0.13,0.29,0.14,0.29,0.19,,7770,0.90,0.29,-0.20,0.30,-0.07,0.26,,7770,0.23,0.25,0.64,0.19,-0.45,0.29
7790,0.29,0.13,0.47,0.13,0.35,0.12,0.32,0.12,0.29,0.13,0.29,0.13,0.29,0.18,,7790,0.89,0.28,-0.20,0.29,-0.09,0.26,,7790,0.24,0.24,0.63,0.18,-0.47,0.29
7810,0.28,0.13,0.47,0.13,0.35,0.12,0.31,0.11,0.29,0.12,0.29,0.13,0.29,0.18,,7810,0.87,0.28,-0.20,0.29,-0.10,0.27,,7810,0.25,0.24,0.63,0.18,-0.49,0.29
7830,0.29,0.13,0.48,0.14,0.35,0.12,0.31,0.11,0.29,0.12,0.29,0.13,0.29,0.18,,7830,0.87,0.28,-0.19,0.29,-0.12,0.27,,7830,0.27,0.24,0.64,0.18,-0.51,0.28
7850,0.29,0.13,0.48,0.14,0.34,0.12,0.31,0.11,0.30,0.13,0.29,0.13,0.30,0.18,,7850,0.86,0.28,-0.18,0.29,-0.13,0.27,,7850,0.28,0.24,0.64,0.18,-0.53,0.28
7870,0.29,0.13,0.49,0.14,0.34,0.12,0.31,0.11,0.29,0.13,0.29,0.13,0.30,0.18,,7870,0.85,0.28,-0.18,0.30,-0.15,0.27,,7870,0.29,0.24,0.65,0.18,-0.54,0.28
7890,0.29,0.13,0.49,0.14,0.34,0.12,0.31,0.12,0.29,0.13,0.30,0.13,0.30,0.19,,7890,0.85,0.28,-0.18,0.30,-0.16,0.27,,7890,0.30,0.24,0.65,0.19,-0.56,0.28
7910,0.30,0.13,0.50,0.14,0.34,0.12,0.31,0.11,0.30,0.13,0.30,0.13,0.30,0.18,,7910,0.85,0.28,-0.17,0.29,-0.17,0.28,,7910,0.31,0.24,0.66,0.19,-0.57,0.27
7930,0.30,0.13,0.50,0.14,0.34,0.12,0.31,0.11,0.31,0.13,0.31,0.13,0.31,0.18,,7930,0.85,0.29,-0.17,0.29,-0.17,0.28,,7930,0.31,0.24,0.66,0.19,-0.57,0.27
7950,0.31,0.13,0.51,0.14,0.34,0.12,0.31,0.11,0.32,0.12,0.31,0.13,0.31,0.18,,7950,0.85,0.29,-0.17,0.29,-0.17,0.29,,7950,0.31,0.24,0.67,0.18,-0.57,0.27
7970,0.32,0.13,0.51,0.14,0.34,0.12,0.31,0.12,0.32,0.12,0.32,0.13,0.32,0.18,,7970,0.85,0.29,-0.17,0.29,-0.17,0.29,,7970,0.30,0.23,0.67,0.18,-0.55,0.27
7990,0.32,0.13,0.52,0.14,0.34,0.11,0.31,0.12,0.32,0.13,0.32,0.13,0.32,0.18,,7990,0.85,0.28,-0.17,0.29,-0.17,0.29,,7990,0.29,0.23,0.67,0.18,-0.53,0.27
8010,0.32,0.13,0.52,0.14,0.34,0.11,0.32,0.12,0.33,0.13,0.32,0.13,0.32,0.18,,8010,0.85,0.28,-0.17,0.29,-0.18,0.29,,8010,0.27,0.23,0.67,0.18,-0.51,0.27
8030,0.32,0.13,0.52,0.14,0.34,0.11,0.32,0.11,0.33,0.13,0.32,0.13,0.32,0.18,,8030,0.86,0.28,-0.18,0.29,-0.18,0.29,,8030,0.26,0.23,0.67,0.18,-0.49,0.27
8050,0.32,0.13,0.52,0.14,0.34,0.12,0.32,0.12,0.33,0.13,0.32,0.13,0.32,0.18,,8050,0.86,0.28,-0.18,0.29,-0.18,0.29,,8050,0.25,0.24,0.66,0.18,-0.47,0.28
8070,0.32,0.13,0.51,0.14,0.34,0.12,0.32,0.12,0.32,0.13,0.32,0.13,0.32,0.18,,8070,0.86,0.28,-0.19,0.29,-0.18,0.29,,8070,0.23,0.24,0.66,0.18,-0.45,0.28
8090,0.31,0.13,0.51,0.14,0.33,0.12,0.31,0.12,0.32,0.13,0.31,0.13,0.31,0.18,,8090,0.86,0.28,-0.20,0.29,-0.18,0.29,,8090,0.22,0.24,0.65,0.18,-0.44,0.28
8110,0.30,0.13,0.50,0.14,0.33,0.12,0.31,0.12,0.31,0.13,0.30,0.13,0.30,0.18,,8110,0.85,0.29,-0.21,0.29,-0.18,0.29,,8110,0.20,0.24,0.64,0.19,-0.44,0.28
8130,0.29,0.13,0.49,0.14,0.32,0.12,0.30,0.12,0.30,0.13,0.29,0.13,0.29,0.18,,8130,0.84,0.29,-0.22,0.29,-0.17,0.28,,8130,0.18,0.24,0.64,0.19,-0.43,0.28
8150,0.28,0.13,0.48,0.14,0.31,0.12,0.29,0.12,0.29,0.13,0.28,0.13,0.28,0.18,,8150,0.82,0.29,-0.22,0.29,-0.18,0.28,,8150,0.16,0.24,0.63,0.19,-0.43,0.29
8170,0.27,0.13,0.47,0.14,0.30,0.12,0.28,0.12,0.28,0.13,0.27,0.13,0.27,0.18,,8170,0.79,0.30,-0.23,0.28,-0.18,0.29,,8170,0.14,0.24,0.63,0.19,-0.43,0.29
8190,0.26,0.13,0.46,0.14,0.29,0.12,0.27,0.12,0.27,0.13,0.26,0.13,0.26,0.18,,8190,0.77,0.30,-0.24,0.28,-0.17,0.29,,8190,0.13,0.24,0.63,0.19,-0.44,0.29
8210,0.25,0.13,0.45,0.14,0.29,0.12,0.27,0.12,0.27,0.13,0.26,0.13,0.25,0.18,,8210,0.76,0.30,-0.24,0.28,-0.17,0.28,,8210,0.12,0.24,0.63,0.19,-0.44,0.29
8230,0.25,0.13,0.45,0.14,0.29,0.12,0.27,0.12,0.27,0.13,0.26,0.13,0.25,0.18,,8230,0.75,0.30,-0.23,0.28,-0.17,0.28,,8230,0.12,0.24,0.63,0.19,-0.44,0.29
8250,0.25,0.13,0.45,0.14,0.29,0.12,0.27,0.12,0.27,0.13,0.26,0.13,0.25,0.18,,8250,0.75,0.30,-0.23,0.28,-0.18,0.27,,8250,0.13,0.24,0.64,0.19,-0.44,0.29
8270,0.26,0.13,0.45,0.14,0.29,0.12,0.27,0.12,0.27,0.13,0.26,0.13,0.26,0.18,,8270,0.75,0.30,-0.22,0.28,-0.17,0.27,,8270,0.13,0.25,0.64,0.19,-0.44,0.29
8290,0.26,0.13,0.45,0.14,0.30,0.12,0.28,0.12,0.27,0.13,0.26,0.13,0.26,0.18,,8290,0.75,0.30,-0.21,0.28,-0.17,0.28,,8290,0.14,0.25,0.65,0.19,-0.44,0.29
8310,0.26,0.13,0.46,0.14,0.30,0.12,0.28,0.12,0.28,0.13,0.27,0.13,0.26,0.18,,8310,0.75,0.31,-0.21,0.28,-0.17,0.28,,8310,0.14,0.25,0.65,0.19,-0.44,0.29
8330,0.27,0.13,0.47,0.14,0.31,0.12,0.29,0.12,0.28,0.13,0.27,0.13,0.27,0.18,,8330,0.77,0.31,-0.20,0.28,-0.15,0.27,,8330,0.15,0.25,0.66,0.19,-0.43,0.29
8350,0.28,0.13,0.48,0.14,0.32,0.12,0.30,0.12,0.30,0.12,0.28,0.13,0.28,0.18,,8350,0.79,0.30,-0.19,0.28,-0.14,0.27,,8350,0.16,0.25,0.66,0.19,-0.42,0.29
